Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2023-158319,50965503207,6/7/2023 18:40,6/7/2023 18:45,6/7/2023 20:34,A,PROPERTY,ROBBERY,Robbery,120,W,K,K3,DOWNTOWN COMMERCIAL,6TH AVE / JAMES ST,-122.3280786,47.60416124
2023-158256,50964751188,6/7/2023 15:00,6/7/2023 17:00,6/7/2023 17:49,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,M,M2,SLU/CASCADE,STEWART ST / 5TH AVE,-122.3378735,47.61295826
2023-157976,50961938490,6/7/2023 12:56,,6/7/2023 14:22,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,J,J3,GREENWOOD,N 82ND ST / GREENWOOD AVE N,-122.3553005,47.68838959
2023-157976,50965038334,6/7/2023 12:56,,6/7/2023 14:22,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,N,J,J3,GREENWOOD,N 82ND ST / GREENWOOD AVE N,-122.3553005,47.68838959
2023-157901,50961323408,6/7/2023 11:50,,6/7/2023 12:42,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,E,C,C1,CAPITOL HILL,7XX BLOCK OF SUMMIT AVE E,-122.325321,47.6257984
2023-157802,50960369036,6/7/2023 9:45,6/7/2023 10:03,6/7/2023 10:34,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,B,B1,BALLARD SOUTH,22XX BLOCK OF NW MARKET ST,-122.3855568,47.66867918
2023-157718,50960083502,6/7/2023 8:44,6/7/2023 8:59,6/7/2023 9:54,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,L,L3,SANDPOINT,35TH AVE NE / NE 115TH ST,-122.2906502,47.71195942
2023-157690,50959850916,6/7/2023 8:19,6/7/2023 8:25,6/7/2023 9:19,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,E,C,C1,EASTLAKE - EAST,11XX BLOCK OF HARVARD AVE E,-122.3223197,47.62957979
2023-909515,50962022565,6/7/2023 7:35,6/7/2023 7:36,6/7/2023 14:42,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,D,D2,SLU/CASCADE,22XX BLOCK OF 4TH AVE,-122.3432842,47.61498466
2023-157519,50957893531,6/7/2023 2:57,,6/7/2023 3:46,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,SW TRENTON ST / 34TH AVE SW,-122.375293,47.52465574
2023-157515,50957927929,6/7/2023 2:52,6/7/2023 4:07,6/7/2023 4:02,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,N,L,L1,LAKECITY,137XX BLOCK OF 32ND AVE NE,-122.2937009,47.72916958
2023-157494,50957785099,6/7/2023 1:30,,6/7/2023 2:58,A,PERSON,SEX OFFENSES,Fondling,11D,S,R,R2,MOUNT BAKER,,0,0
2023-157464,50957763908,6/7/2023 0:31,,6/7/2023 1:56,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,E,C,C1,CAPITOL HILL,9XX BLOCK OF 10TH AVE E,-122.320216,47.62774923
2023-157984,50965658997,6/7/2023 0:15,6/7/2023 11:45,6/7/2023 21:26,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,B,B2,FREMONT,3RD AVE NW / NW 48TH ST,-122.3607983,47.66361515
2023-157447,50957762317,6/7/2023 0:02,,6/7/2023 2:52,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,S,R,R1,NORTH BEACON HILL,25XX BLOCK OF 15TH AVE S,-122.313397,47.58003408
2023-157440,50957558533,6/6/2023 23:58,,6/7/2023 1:44,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SW,W,W3,HIGH POINT,65XX BLOCK OF 32ND AVE SW,-122.373776,47.54375839
2023-157428,50957649403,6/6/2023 23:13,,6/7/2023 1:48,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,S,O,O3,MID BEACON HILL,15XX BLOCK OF S DAWSON ST,-122.3119884,47.55561749
2023-157568,50959546935,6/6/2023 23:00,6/7/2023 5:00,6/7/2023 8:18,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,F,F2,HIGHLAND PARK,75XX BLOCK OF 21ST AVE SW,-122.360413,47.534512
2023-909518,50962026695,6/6/2023 22:48,6/7/2023 8:30,6/7/2023 14:43,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,N,N2,NORTHGATE,137XX BLOCK OF AURORA AVE N,-122.345047,47.72958479
2023-157752,50960337783,6/6/2023 22:45,6/7/2023 7:45,6/7/2023 10:30,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,U,U1,UNIVERSITY,50XX BLOCK OF 15TH AVE NE,-122.3119268,47.66566054
2023-909517,50962025220,6/6/2023 22:30,6/6/2023 22:30,6/7/2023 14:43,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,O,O1,SODO,1ST AVE S / S MASSACHUSETTS ST,-122.3341966,47.58822859
2023-157381,50956737760,6/6/2023 22:20,,6/6/2023 22:42,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,E,C,C1,CENTRAL AREA/SQUIRE PARK,18XX BLOCK OF 16TH AVE,-122.3114441,47.61806519
2023-157580,50958816552,6/6/2023 21:00,6/7/2023 5:00,6/7/2023 6:20,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,E,E,E2,FIRST HILL,E COLUMBIA ST / BROADWAY,-122.3207568,47.6092415
2023-157319,50956707390,6/6/2023 20:30,6/6/2023 21:00,6/6/2023 22:45,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,Q,Q3,QUEEN ANNE,3XX BLOCK OF 1ST AVE N,-122.355429,47.62151945
2023-157319,50956706570,6/6/2023 20:30,6/6/2023 21:00,6/6/2023 22:45,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,Q,Q3,QUEEN ANNE,3XX BLOCK OF 1ST AVE N,-122.355429,47.62151945
2023-157287,50956468031,6/6/2023 20:18,6/6/2023 20:48,6/6/2023 21:24,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,L,L1,LAKECITY,140XX BLOCK OF 32ND AVE NE,-122.2938395,47.73104069
2023-157279,50957474601,6/6/2023 20:09,,6/6/2023 22:19,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,L,L2,NORTHGATE,3XX BLOCK OF NE NORTHGATE WAY,-122.3246152,47.7086028
2023-157227,50960413661,6/6/2023 19:10,,6/6/2023 20:18,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,S,S1,NEW HOLLY,71XX BLOCK OF 38TH AVE S,-122.2847256,47.53795765
2023-157227,50956081138,6/6/2023 19:10,,6/6/2023 20:18,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,S,S,S1,NEW HOLLY,71XX BLOCK OF 38TH AVE S,-122.2847256,47.53795765
2023-157223,50956336537,6/6/2023 19:08,,6/6/2023 21:07,A,PROPERTY,ROBBERY,Robbery,120,S,R,R3,HILLMAN CITY,,0,0
2023-157223,50956341230,6/6/2023 19:08,,6/6/2023 21:07,A,PERSON,KIDNAPPING/ABDUCTION,Kidnapping/Abduction,100,S,R,R3,HILLMAN CITY,,0,0
2023-157216,50957932571,6/6/2023 18:46,,6/7/2023 3:43,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,N,J,J3,ROOSEVELT/RAVENNA,17XX BLOCK OF N 85TH ST,-122.3371968,47.6905067
2023-157153,50955817915,6/6/2023 17:05,,6/6/2023 19:29,A,PERSON,SEX OFFENSES,Fondling,11D,W,D,D2,SLU/CASCADE,,0,0
2023-157170,50956349734,6/6/2023 17:00,,6/6/2023 21:14,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,E,G,G1,FIRST HILL,3XX BLOCK OF 9TH AVE,-122.3234439,47.60412808
2023-157080,50955130713,6/6/2023 16:53,6/6/2023 16:53,6/6/2023 17:18,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,S,S,S1,NEW HOLLY,39TH AVE S / S OTHELLO ST,-122.2833966,47.53704573
2023-909502,50961655087,6/6/2023 15:45,6/6/2023 18:45,6/7/2023 13:43,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,S,R,R1,NORTH BEACON HILL,27XX BLOCK OF 18TH AVE S,-122.3093154,47.57915961
2023-157005,50955700536,6/6/2023 15:45,,6/6/2023 19:03,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,D,D1,BELLTOWN,,0,0
2023-157005,50956453349,6/6/2023 15:45,,6/6/2023 19:03,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,D,D1,BELLTOWN,,0,0
2023-909491,50961454747,6/6/2023 15:32,6/6/2023 16:15,6/7/2023 13:13,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,E,E1,CAPITOL HILL,18XX BLOCK OF BELLEVUE AVE,-122.3267464,47.61811629
2023-909507,50961713635,6/6/2023 15:20,6/6/2023 15:36,6/7/2023 13:53,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SW,F,F2,HIGHLAND PARK,86XX BLOCK OF DELRIDGE WAY SW,-122.3604743,47.52559091
2023-156956,50954574434,6/6/2023 15:00,6/6/2023 15:05,6/6/2023 15:39,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,D,D2,SLU/CASCADE,2XX BLOCK OF 9TH AVE N,-122.3397736,47.62029471
2023-156953,50955440509,6/6/2023 14:57,6/6/2023 14:57,6/6/2023 18:26,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SW,W,W2,ALASKA JUNCTION,47XX BLOCK OF FAUNTLEROY WAY SW,-122.3814565,47.5601804
2023-156967,50954498871,6/6/2023 14:50,6/6/2023 14:55,6/6/2023 15:27,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,N,B,B3,WALLINGFORD,23XX BLOCK OF N 45TH ST,-122.330759,47.66137207
2023-909498,50961651678,6/6/2023 14:00,6/6/2023 14:26,6/7/2023 13:42,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,E,E2,CAPITOL HILL,18XX BLOCK OF NAGLE PL,-122.3200628,47.61816128
2023-157648,50960389705,6/6/2023 14:00,6/7/2023 6:30,6/7/2023 9:51,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,W,W3,MORGAN,80XX BLOCK OF 39TH AVE SW,-122.3820012,47.53099131
2023-156871,50954106798,6/6/2023 13:25,6/6/2023 13:25,6/6/2023 14:23,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,S,R,R3,HILLMAN CITY,38XX BLOCK OF S GRAHAM ST,-122.2841022,47.5460321
2023-909478,50959484696,6/6/2023 13:10,6/6/2023 13:10,6/7/2023 8:23,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,B,B1,BALLARD SOUTH,22XX BLOCK OF NW 58TH ST,-122.3861649,47.67091421
2023-909472,50958984893,6/6/2023 13:00,6/6/2023 13:00,6/7/2023 7:03,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B1,BALLARD SOUTH,SHILSHOLE AVE NW / 22ND AVE NW,-122.3847501,47.66646689
2023-156698,50954012586,6/6/2023 12:52,,6/6/2023 14:06,A,PROPERTY,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,S,R,R1,NORTH BEACON HILL,18XX BLOCK OF 13TH AVE S,-122.3159794,47.58665177
2023-157840,50960523783,6/6/2023 12:00,,6/7/2023 10:55,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,B,B2,FREMONT,4XX BLOCK OF N 46TH ST,-122.3533566,47.66213961
2023-909461,50954401787,6/6/2023 12:00,6/6/2023 12:00,6/6/2023 15:13,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U1,UNIVERSITY,16TH AVE NE / NE 55TH ST,-122.3107463,47.66853861
2023-156838,50954245266,6/6/2023 12:00,6/6/2023 12:30,6/6/2023 14:45,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,W,W3,MORGAN,67XX BLOCK OF BEACH DR SW,-122.3965314,47.54328358
